lane	fragment_index	length_bp
GCA_039190305.1_ASM3919030v1_genomic	3	614
GCA_039190305.1_ASM3919030v1_genomic	4	783
GCA_039190305.1_ASM3919030v1_genomic	5	890
GCA_039190305.1_ASM3919030v1_genomic	6	1027
GCA_039190305.1_ASM3919030v1_genomic	7	1130
GCA_039190305.1_ASM3919030v1_genomic	8	1458
GCA_039190305.1_ASM3919030v1_genomic	9	1495
GCA_039190305.1_ASM3919030v1_genomic	10	1565
GCA_039190305.1_ASM3919030v1_genomic	11	1979
GCA_039190305.1_ASM3919030v1_genomic	12	2275
GCA_039219955.1_ASM3921995v1_genomic	1	22
GCA_039219955.1_ASM3921995v1_genomic	2	185
GCA_039219955.1_ASM3921995v1_genomic	3	221
GCA_039219955.1_ASM3921995v1_genomic	4	439
GCA_039219955.1_ASM3921995v1_genomic	5	524
GCA_039219955.1_ASM3921995v1_genomic	6	557
GCA_039219955.1_ASM3921995v1_genomic	7	560
GCA_039219955.1_ASM3921995v1_genomic	8	642
GCA_039219955.1_ASM3921995v1_genomic	9	803
GCA_039219955.1_ASM3921995v1_genomic	10	837
GCA_039219955.1_ASM3921995v1_genomic	11	840
GCA_039219955.1_ASM3921995v1_genomic	12	982
GCA_039219955.1_ASM3921995v1_genomic	13	1413
GCA_039219955.1_ASM3921995v1_genomic	14	1471
GCA_039219955.1_ASM3921995v1_genomic	15	1499
GCA_039219955.1_ASM3921995v1_genomic	16	2340
GCA_039260015.1_ASM3926001v1_genomic	1	56
GCA_039260015.1_ASM3926001v1_genomic	2	253
GCA_039260015.1_ASM3926001v1_genomic	3	258
GCA_039260015.1_ASM3926001v1_genomic	4	277
GCA_039260015.1_ASM3926001v1_genomic	5	299
GCA_039260015.1_ASM3926001v1_genomic	6	342
GCA_039260015.1_ASM3926001v1_genomic	7	381
GCA_039260015.1_ASM3926001v1_genomic	8	571
GCA_039260015.1_ASM3926001v1_genomic	9	890
GCA_039260015.1_ASM3926001v1_genomic	10	1027
GCA_039260015.1_ASM3926001v1_genomic	11	1099
GCA_039260015.1_ASM3926001v1_genomic	12	1174
GCA_039260015.1_ASM3926001v1_genomic	13	1197
GCA_039260015.1_ASM3926001v1_genomic	14	1252
GCA_039260015.1_ASM3926001v1_genomic	15	1483
GCA_039260015.1_ASM3926001v1_genomic	16	2349
GCA_039260015.1_ASM3926001v1_genomic	17	2430
GCA_039318355.1_ASM3931835v1_genomic	1	264
GCA_039318355.1_ASM3931835v1_genomic	2	275
GCA_039318355.1_ASM3931835v1_genomic	3	373
GCA_039318355.1_ASM3931835v1_genomic	4	865
GCA_039318355.1_ASM3931835v1_genomic	5	1026
GCA_039318355.1_ASM3931835v1_genomic	6	1107
GCA_039318355.1_ASM3931835v1_genomic	7	1224
GCA_039318355.1_ASM3931835v1_genomic	8	1377
GCA_039318355.1_ASM3931835v1_genomic	9	1452
GCA_039318355.1_ASM3931835v1_genomic	10	1551
GCA_039318355.1_ASM3931835v1_genomic	11	1888
GCA_039318355.1_ASM3931835v1_genomic	12	2042
GCA_039383535.1_ASM3938353v1_genomic	1	258
GCA_039383535.1_ASM3938353v1_genomic	2	295
GCA_039383535.1_ASM3938353v1_genomic	3	342
GCA_039383535.1_ASM3938353v1_genomic	4	351
GCA_039383535.1_ASM3938353v1_genomic	5	379
GCA_039383535.1_ASM3938353v1_genomic	6	588
GCA_039383535.1_ASM3938353v1_genomic	7	846
GCA_039383535.1_ASM3938353v1_genomic	8	893
GCA_039383535.1_ASM3938353v1_genomic	9	1045
GCA_039383535.1_ASM3938353v1_genomic	10	1197
GCA_039383535.1_ASM3938353v1_genomic	11	1285
GCA_039383535.1_ASM3938353v1_genomic	12	1458
GCA_039383535.1_ASM3938353v1_genomic	13	1495
GCA_039383535.1_ASM3938353v1_genomic	14	1611
GCA_039383535.1_ASM3938353v1_genomic	15	1817
